Date,Tiker,Price
2020-07-01,TIK1,52.580002
2020-07-02,TIK1,52.340000
2020-07-06,TIK1,53.400002
2020-07-07,TIK1,52.930000
2020-07-08,TIK1,53.430000
2020-07-09,TIK1,57.259998
2020-07-10,TIK1,55.880001
2020-07-13,TIK1,53.590000
2020-07-14,TIK1,54.720001
2020-07-15,TIK1,55.340000
2020-07-16,TIK1,54.919998
2020-07-17,TIK1,55.040001
2020-07-20,TIK1,57.459999
2020-07-21,TIK1,57.000000
2020-07-22,TIK1,61.790001
2020-07-23,TIK1,59.570000
2020-07-24,TIK1,69.400002
2020-07-27,TIK1,68.970001
2020-07-28,TIK1,67.610001
2020-07-29,TIK1,76.089996
2020-07-30,TIK1,78.199997
2020-07-31,TIK1,77.430000
2020-08-03,TIK1,77.669998
2020-08-04,TIK1,85.040001
2020-08-05,TIK1,85.309998
2020-08-06,TIK1,86.709999
2020-08-07,TIK1,84.849998
2020-08-10,TIK1,82.239998
2020-08-11,TIK1,76.879997
2020-08-12,TIK1,82.610001
2020-08-13,TIK1,81.839996
2020-08-14,TIK1,81.300003
2020-08-17,TIK1,82.419998
2020-08-18,TIK1,81.660004
2020-08-19,TIK1,81.089996
2020-08-20,TIK1,82.769997
2020-08-21,TIK1,83.809998
2020-08-24,TIK1,83.080002
2020-08-25,TIK1,86.349998
2020-08-26,TIK1,86.019997
2020-08-27,TIK1,83.800003
2020-08-28,TIK1,85.550003
2020-08-31,TIK1,90.820000
2020-09-01,TIK1,92.180000
2020-09-02,TIK1,90.220001
2020-09-03,TIK1,82.540001
2020-09-04,TIK1,82.010002
2020-09-08,TIK1,78.690002
2020-09-09,TIK1,81.910004
2020-09-10,TIK1,78.980003
2020-09-11,TIK1,76.339996
2020-09-14,TIK1,77.900002
2020-09-15,TIK1,78.930000
2020-09-16,TIK1,76.660004
2020-09-17,TIK1,76.550003
2020-09-18,TIK1,74.930000
2020-09-21,TIK1,77.940002
2020-09-22,TIK1,77.699997
2020-09-23,TIK1,74.730003
2020-09-24,TIK1,75.820000
2020-09-25,TIK1,78.059998
2020-09-28,TIK1,79.480003
2020-09-29,TIK1,81.769997
2020-09-30,TIK1,81.989998
2020-10-01,TIK1,84.860001
2020-10-02,TIK1,81.800003
2020-10-05,TIK1,86.150002
2020-10-06,TIK1,84.480003
2020-10-07,TIK1,86.690002
2020-10-08,TIK1,86.510002
2020-10-09,TIK1,83.099998
2020-10-12,TIK1,84.290001
2020-10-13,TIK1,85.279999
2020-10-14,TIK1,84.209999
2020-10-15,TIK1,83.129997
2020-10-16,TIK1,83.169998
2020-10-19,TIK1,82.000000
2020-10-20,TIK1,81.559998
2020-10-21,TIK1,79.199997
2020-10-22,TIK1,79.419998
2020-10-23,TIK1,81.959999
2020-10-26,TIK1,82.230003
2020-10-27,TIK1,78.879997
2020-10-28,TIK1,76.400002
2020-10-29,TIK1,78.019997
2020-10-30,TIK1,75.290001
2020-11-02,TIK1,74.699997
2020-11-03,TIK1,76.580002
2020-11-04,TIK1,81.349998
2020-11-05,TIK1,83.000000
2020-11-06,TIK1,85.879997
2020-11-09,TIK1,83.120003
2020-11-10,TIK1,77.989998
2020-11-11,TIK1,81.279999
2020-11-12,TIK1,81.839996
2020-11-13,TIK1,81.430000
2020-11-16,TIK1,83.730003
2020-11-17,TIK1,83.360001
2020-11-18,TIK1,82.540001
2020-11-19,TIK1,85.540001
2020-11-20,TIK1,84.639999
2020-11-23,TIK1,85.309998
2020-11-24,TIK1,85.070000
2020-11-25,TIK1,86.709999
2020-11-27,TIK1,87.190002
2020-11-30,TIK1,92.660004
2020-12-01,TIK1,92.629997
2020-12-02,TIK1,93.739998
2020-12-03,TIK1,92.309998
2020-12-04,TIK1,94.040001
2020-12-07,TIK1,94.070000
2020-12-08,TIK1,92.919998
2020-12-09,TIK1,89.830002
2020-12-10,TIK1,91.660004
2020-12-11,TIK1,91.650002
2020-12-14,TIK1,94.779999
2020-12-15,TIK1,97.120003
2020-12-16,TIK1,96.849998
2020-12-17,TIK1,96.839996
2020-12-18,TIK1,95.919998
2020-12-21,TIK1,93.230003
2020-12-22,TIK1,93.160004
2020-12-23,TIK1,91.550003
2020-12-24,TIK1,91.809998
2020-12-28,TIK1,91.599998
2020-12-29,TIK1,90.620003
2020-12-30,TIK1,92.290001
2020-12-31,TIK1,91.709999
2021-01-04,TIK1,92.300003
2021-01-05,TIK1,92.769997
2021-01-06,TIK1,90.330002
2021-01-07,TIK1,95.160004
2021-01-08,TIK1,94.580002
2021-01-11,TIK1,97.250000
2021-01-12,TIK1,95.360001
2021-01-13,TIK1,91.779999
2021-01-14,TIK1,90.790001
2021-01-15,TIK1,88.209999
2021-01-19,TIK1,89.449997
2021-01-20,TIK1,88.750000
2021-01-21,TIK1,91.529999
2021-01-22,TIK1,92.790001
2021-01-25,TIK1,94.129997
2021-01-26,TIK1,94.709999
2021-01-27,TIK1,88.839996
2021-01-28,TIK1,87.519997
2021-01-29,TIK1,85.639999
2021-02-01,TIK1,87.660004
2021-02-02,TIK1,88.860001
2021-02-03,TIK1,87.889999
2021-02-04,TIK1,87.839996
2021-02-05,TIK1,87.900002
2021-02-08,TIK1,91.470001
2021-02-09,TIK1,90.910004
2021-02-10,TIK1,92.349998
2021-02-11,TIK1,92.660004
2021-02-12,TIK1,93.769997
2021-02-16,TIK1,91.459999
